,0
1075,6.6
1076,7.7
1077,6.2
1078,5.6
1079,6.9
1080,6.8
1081,6.7
1082,6.2
1083,7.4
1084,6.3
1085,5.2
1086,4.7
1087,7.0
1088,6.0
1089,7.4
1090,6.7
1091,7.0
1092,7.1
1093,6.2
1094,5.3
1095,5.7
1096,7.1
1097,5.9
1098,7.1
1099,6.6
1100,6.8
1101,7.0
1102,5.4
1103,6.7
1104,7.1
1105,6.1
1106,7.1
1107,7.2
1108,7.2
1109,6.2
1110,6.5
1111,5.7
1112,7.5
1113,5.4
1114,5.8
1115,6.1
1116,6.2
1117,5.4
1118,7.2
1119,6.0
1120,5.9
1121,5.9
1122,6.2
1123,5.0
1124,7.3
1125,7.0
1126,6.5
1127,8.0
1128,6.1
1129,5.7
1130,7.3
1131,6.2
1132,6.0
1133,6.4
1134,6.5
1135,6.4
1136,6.5
1137,6.0
1138,6.8
1139,6.7
1140,5.8
1141,6.8
1142,4.9
1143,6.2
1144,6.5
1145,5.4
1146,6.1
1147,6.1
1148,6.7
1149,5.3
1150,5.0
1151,5.9
1152,7.0
1153,5.9
1154,5.4
1155,6.9
1156,6.1
1157,6.3
1158,5.6
1159,6.7
1160,5.0
1161,4.6
1162,5.2
1163,6.4
1164,5.4
1165,7.2
1166,5.9
1167,6.5
1168,6.9
1169,5.7
1170,4.7
1171,4.9
1172,6.5
1173,4.8
1174,7.0
1175,4.2
1176,7.5
1177,5.7
1178,5.7
1179,7.8
1180,5.6
1181,6.6
1182,5.9
1183,3.2
1184,5.5
1185,5.9
1186,4.2
1187,6.5
1188,5.0
1189,7.0
1190,6.0
1191,5.5
1192,5.1
1193,6.6
1194,6.2
1195,6.7
1196,7.3
1197,7.5
1198,6.7
1199,5.8
1200,6.6
1201,7.4
1202,4.5
1203,5.3
1204,6.0
1205,7.1
1206,6.0
1207,6.4
1208,5.3
1209,6.4
1210,6.3
1211,6.7
1212,7.2
1213,6.2
1214,5.0
1215,5.6
1216,6.3
1217,5.7
1218,6.0
1219,6.9
1220,6.3
1221,7.8
1222,6.2
1223,5.8
1224,6.2
1225,7.0
1226,4.3
1227,7.1
1228,5.6
1229,7.3
1230,7.0
1231,5.8
1232,6.5
1233,5.6
1234,7.7
1235,7.5
1236,5.3
1237,5.9
1238,6.7
1239,5.8
1240,7.0
1241,6.1
1242,6.8
1243,5.3
1244,6.6
1245,5.8
1246,6.0
1247,6.7
1248,5.4
1249,5.8
1250,5.2
1251,5.8
1252,7.5
1253,4.6
1254,5.2
1255,7.2
1256,6.5
1257,6.2
1258,7.0
1259,6.4
1260,7.2
1261,5.5
1262,6.5
1263,7.2
1264,7.0
1265,6.2
1266,5.6
1267,7.0
1268,6.5
1269,5.9
1270,5.5
1271,7.0
1272,7.7
1273,5.8
1274,5.5
1275,7.2
1276,6.0
1277,6.8
1278,6.0
1279,6.8
1280,6.5
1281,5.6
1282,7.3
1283,7.2
1284,5.6
1285,5.2
1286,6.2
1287,5.2
1288,5.8
1289,7.4
1290,6.4
1291,7.0
1292,5.2
1293,6.7
1294,5.7
1295,5.9
1296,6.9
1297,4.1
1298,8.0
1299,5.5
1300,6.7
1301,6.0
1302,6.0
1303,5.4
1304,5.9
1305,5.9
1306,6.3
1307,6.1
1308,5.8
1309,5.1
1310,6.3
1311,5.6
1312,6.0
1313,5.5
1314,5.9
1315,7.0
1316,5.6
1317,5.2
1318,4.9
1319,5.7
1320,5.1
1321,6.2
1322,5.4
1323,6.5
1324,5.7
1325,6.0
1326,4.6
1327,5.8
1328,6.0
1329,6.6
1330,5.7
1331,7.0
1332,5.3
1333,6.5
1334,5.5
1335,4.8
1336,5.6
1337,4.9
1338,6.9
1339,6.5
1340,6.6
1341,6.2
1342,6.7
1343,6.6
1344,7.0
1345,5.8
1346,7.0
1347,5.0
1348,7.0
1349,6.8
1350,5.3
1351,5.1
1352,7.5
1353,7.3
1354,5.4
1355,6.5
1356,7.1
1357,7.1
1358,5.3
1359,5.6
1360,4.8
1361,6.7
1362,5.1
1363,6.1
1364,6.6
1365,6.3
1366,7.9
1367,5.8
1368,7.2
1369,5.3
1370,6.4
1371,6.2
1372,6.7
1373,5.6
1374,6.5
1375,6.3
1376,6.0
1377,7.0
1378,6.0
1379,5.7
1380,5.3
1381,7.1
1382,6.7
1383,6.3
1384,6.7
1385,5.6
1386,6.9
1387,6.2
1388,6.3
1389,5.6
1390,6.2
1391,4.0
1392,5.3
1393,7.1
1394,5.9
1395,8.0
1396,6.0
1397,6.9
1398,5.7
1399,7.0
1400,6.5
1401,5.9
1402,8.0
1403,6.4
1404,6.2
1405,7.0
1406,6.2
1407,6.4
1408,6.9
1409,6.1
1410,6.0
1411,7.7
1412,6.8
1413,7.0
1414,6.0
1415,7.4
1416,7.2
1417,7.2
1418,6.2
1419,6.7
1420,6.1
1421,6.5
1422,6.5
1423,8.1
1424,7.3
1425,6.7
1426,7.6
1427,7.7
1428,6.4
1429,7.7
1430,6.1
1431,6.0
1432,6.0
1433,5.9
1434,7.2
1435,6.7
1436,6.7
1437,6.4
1438,6.6
1439,6.0
1440,5.8
1441,6.4
1442,6.7
1443,5.8
1444,5.9
1445,5.3
1446,6.3
1447,7.4
1448,7.4
1449,5.8
1450,5.6
1451,6.3
1452,6.0
1453,6.8
1454,6.9
1455,5.1
1456,7.4
1457,6.2
1458,4.9
1459,7.2
1460,7.2
1461,7.2
1462,7.3
1463,6.2
1464,7.4
1465,6.6
1466,5.6
1467,7.1
1468,6.2
1469,6.5
1470,3.7
1471,7.2
1472,6.4
1473,6.6
1474,6.5
1475,3.8
1476,5.7
1477,5.8
1478,6.6
1479,6.5
1480,6.6
1481,6.4
1482,6.8
1483,4.1
1484,6.3
1485,6.4
1486,5.4
1487,4.8
1488,5.8
1489,5.2
1490,5.7
1491,5.0
1492,6.9
1493,4.8
1494,6.0
1495,6.0
1496,5.2
1497,6.6
1498,5.7
1499,6.8
1500,5.5
1501,5.1
1502,6.3
1503,5.1
1504,5.0
1505,6.7
1506,6.0
1507,6.4
1508,4.7
1509,6.1
1510,4.8
1511,6.7
1512,6.3
1513,7.2
1514,5.5
1515,5.8
1516,7.4
1517,5.9
1518,5.4
1519,6.3
1520,5.0
1521,7.0
1522,5.0
1523,6.4
1524,5.6
1525,6.8
1526,7.3
1527,5.9
1528,6.6
1529,5.0
1530,5.5
1531,4.9
1532,6.8
1533,7.4
1534,7.7
1535,7.1
1536,5.7
1537,6.1
1538,6.6
1539,6.2
1540,7.5
1541,6.4
1542,7.3
1543,7.0
1544,6.8
1545,5.5
1546,6.5
1547,7.4
1548,7.1
1549,6.4
1550,6.3
1551,6.6
1552,5.5
1553,6.1
1554,6.9
1555,6.4
1556,6.1
1557,7.1
1558,5.6
1559,4.6
1560,6.1
1561,7.7
1562,7.9
1563,6.5
1564,6.0
1565,6.5
1566,7.0
1567,5.8
1568,6.0
1569,5.5
1570,5.5
1571,4.8
1572,5.8
1573,5.5
1574,6.8
1575,6.2
1576,6.3
1577,5.6
1578,5.7
1579,6.2
1580,6.2
1581,7.1
1582,5.7
1583,6.9
1584,6.9
1585,6.2
1586,6.7
1587,6.2
1588,7.5
1589,6.0
1590,6.6
1591,5.5
1592,7.4
1593,7.3
1594,6.3
1595,7.0
1596,7.2
1597,6.7
1598,5.9
1599,6.1
1600,5.5
1601,4.4
1602,6.5
1603,5.9
1604,5.9
1605,6.3
1606,5.2
1607,5.2
1608,6.0
1609,6.2
1610,6.8
1611,6.2
1612,5.8
1613,6.6
1614,6.8
1615,7.0
1616,6.3
1617,6.9
1618,6.2
1619,5.9
1620,7.3
1621,5.2
1622,6.1
1623,4.9
1624,6.8
1625,5.2
1626,5.7
1627,5.8
1628,6.1
1629,4.8
