,0
305,133718711
306,93820758
307,7103973
308,94882889
309,246233113
310,13835130
311,433013274
312,193772504
313,95311434
314,149044513
315,102000000
316,172989651
317,104907746
318,263920180
319,288347692
320,76432727
321,877244782
322,543514353
323,93525586
324,940335536
325,1118888979
326,926287400
327,114178613
328,274703340
329,103039258
330,368780809
331,482860185
332,162839667
333,304654182
334,25819961
335,631442092
336,10017322
337,226497209
338,589390539
339,497366869
340,167805466
341,347325802
342,155464351
343,242988466
344,886686817
345,188133322
346,264105545
347,289847354
348,304320254
349,188072649
350,232617430
351,366101666
352,524028679
353,94061311
354,186053725
355,233755553
356,200276000
357,201596308
358,243637091
359,235926552
360,182290266
361,171120329
362,190213455
363,162944923
364,174578751
365,156505388
366,334901337
367,118063304
368,143049560
369,60874615
370,484635760
371,93700000
372,140807547
373,35168966
374,79114085
375,108539911
376,16178959
377,148336445
378,494471524
379,429632142
380,384335608
381,288500217
382,315156409
383,450717150
384,132274484
385,358375603
386,340487652
387,208076205
388,183611771
389,152930623
390,194168700
391,250649836
392,219103655
393,311312624
394,197309027
395,288747895
396,96976270
397,80916492
398,137298489
399,162242962
400,158468292
401,142940100
402,78382433
403,37823676
404,183018522
405,47664559
406,74208267
407,123307945
408,275650703
409,41037742
410,237681299
411,21028755
412,112483764
413,222231186
414,160388063
415,84785914
416,96085477
417,484572835
418,274470394
419,457696359
420,691210692
421,254455986
422,280000000
423,343397247
424,145771527
425,144000000
426,140464664
427,190320568
428,342695435
429,246984278
430,230685453
431,266728738
432,294804195
433,163733697
434,260696994
435,245676146
436,212874442
437,181001478
438,214918407
439,224012234
440,178066569
441,173013509
442,157107755
443,177977226
444,91188905
445,250200000
446,233093859
447,136982834
448,211817906
449,164000000
450,201584141
451,122563539
452,169852759
453,136159423
454,96105964
455,473226958
456,90874570
457,123729176
458,147080413
459,142400065
460,71485043
461,105316267
462,101371017
463,43312294
464,122444772
465,34566746
466,159212469
467,126546518
468,21400000
469,68514844
470,53825515
471,19480739
472,17626234
473,69131860
474,146936910
475,33463969
476,107944236
477,19406406
478,5989640
479,117831631
480,313542341
481,788241776
482,355692760
483,248384621
484,209196298
485,108103450
486,149673788
487,236350661
488,97571250
489,15071514
490,35134820
491,875958308
492,179265204
493,970761885
494,816969268
495,229074524
496,532680671
497,69959751
498,296339527
499,258270008
500,335062621
501,660940780
502,196482882
503,90450008
504,78000586
505,117698894
506,271430189
507,219417255
508,73034460
509,215663859
510,119000410
511,367275019
512,154937680
513,95226116
514,130358911
515,85632458
516,98159963
517,108145109
518,55041367
519,140175006
520,67631903
521,127600435
522,226904017
523,77944725
524,36754634
525,51142659
526,14567883
527,5802422
528,5409517
529,21009180
530,248118121
531,1156730962
532,89792502
533,103891409
534,13100000
535,349779543
536,111231041
537,61458982
538,86658558
539,162966177
540,176104344
541,210000000
542,96889998
543,527068851
544,37317558
545,54744738
546,62172050
547,256697520
548,294456605
549,408247917
550,919838758
551,461983149
552,309457509
553,277448382
554,311594032
555,309492681
556,319131050
557,300854823
558,240031094
559,116643346
560,203388341
561,42285169
562,171183863
563,443140005
564,114660784
565,161025640
566,118000000
567,202466756
568,122919055
569,177584879
570,154984035
571,90000098
572,134748021
573,215529201
574,116672912
575,135560026
576,131457682
577,67112664
578,65977295
579,55987321
580,33561137
581,160112671
582,59418613
583,32287044
584,57777106
585,19924033
586,19870567
587,13596911
588,18662027
589,17752940
590,57958696
591,38629478
592,122915111
593,61279452
594,193000000
595,698491347
596,71069884
597,543513985
598,35431113
599,217022588
600,39041505
601,29762011
602,83160734
603,60289912
604,52099090
605,113280098
606,86387857
607,112265139
608,212404396
609,189198313
610,25303038
611,481840909
612,203277636
613,374111707
614,383257136
615,75715436
616,275293450
617,463517383
618,355237933
619,172855065
620,441809770
621,250821495
622,128107642
623,250288523
624,211780824
625,163442937
626,128884132
627,255000211
628,150270147
629,69700000
630,162945894
631,179379533
632,162091208
633,133821816
634,153962963
635,156974557
636,128905366
637,38376497
638,240159255
639,73762516
640,89456761
641,64321501
642,100853753
643,43545364
644,17218080
645,71154592
646,42093706
647,56681566
648,39407616
649,74608570
650,203427584
651,132180323
652,296655431
653,44091067
654,920100000
655,25052000
656,215887717
657,121545703
658,101595121
659,127666415
660,107879496
661,41819064
662,18720175
663,155760117
664,183953723
665,422610419
666,516642939
667,244082376
668,284600000
669,253625427
670,314432665
671,369330363
672,214034224
673,352194034
674,149705852
675,264118201
676,218613188
677,164433867
678,131940411
679,93375151
680,176070171
681,93354918
682,171757863
683,171844840
684,157920733
685,129181830
686,311256926
687,204594016
688,71664962
689,100230832
690,186883563
691,217764291
692,165333180
693,74541707
694,218340595
695,73648228
696,137551594
697,124596398
698,163403799
699,130293714
700,61112916
701,170268750
702,129832389
703,99318987
704,56702901
705,107139399
706,159330280
707,96269812
708,50877145
709,104324083
710,50549107
711,101134059
712,205754447
713,162000000
714,95696996
715,108255770
716,46683377
717,469160692
718,43061982
719,105200903
