,0
733,51530934
734,-37309573
735,436930813
736,-21175145
737,48906843
738,2688827
739,70968406
740,31683659
741,-20693504
742,-36605969
743,21256668
744,39850345
745,9142164
746,73957582
747,-5738388
748,-34768033
749,-6246855
750,15222206
751,-79055134
752,-32248871
753,-52030883
754,-16192119
755,168083695
756,13309275
757,20337509
758,-41594935
759,-44491356
760,-9598188
761,-1054270
762,-50056588
763,-56186580
764,-96477703
765,-31181584
766,33071424
767,-10803120
768,-5440691
769,-104031548
770,-2899681
771,-24227691
772,-31177000
773,-70241907
774,-43184520
775,130218006
776,-83929831
777,754252815
778,-79055134
779,516323527
780,105565356
781,53908581
782,-30201261
783,189339277
784,-19296163
785,-63236272
786,31108988
787,-15147834
788,270369414
789,-8369776
790,128086509
791,-13091517
792,78815528
793,1641272
794,102433660
795,6476411
796,68514079
797,1490385
798,865055211
799,352809451
800,353512446
801,398934979
802,420151851
803,101136964
804,358273874
805,-73425222
806,217710693
807,43279527
808,109467543
809,326088886
810,146651504
811,124898837
812,143066290
813,299007807
814,202377340
815,220816834
816,189317432
817,186247435
818,-71521689
819,148759056
820,12469155
821,134039820
822,2479973
823,90586097
824,147025458
825,84238045
826,59509350
827,156494486
828,116391957
829,-17641306
830,33816320
831,218066963
832,293654
833,-25621983
834,-104031548
835,-26122541
836,38675325
837,63955883
838,67037980
839,13809684
840,-49200826
841,103080747
842,22521385
843,-11653197
844,-53149119
845,-58117948
846,-62719159
847,32445432
848,-34969203
849,38850956
850,-57234008
851,15326816
852,-60737146
853,126278182
854,130756638
855,-49241467
856,121132631
857,-5967350
858,90660984
859,227744367
860,-57662181
861,-54029211
862,78541264
863,115884156
864,160505614
865,-26284543
866,48310269
867,-28586524
868,84033097
869,-49124969
870,6745467
871,375189366
872,101758615
873,181484416
874,644543477
875,185123609
876,73077282
877,60775696
878,26048395
879,-44948872
880,87868245
881,930306
882,-64159859
883,126123697
884,25833707
885,56024318
886,752433156
887,537591478
888,86273985
889,494718278
890,302389040
891,547453528
892,352678714
893,200658929
894,133786774
895,151605698
896,233371483
897,262167374
898,157156418
899,147837776
900,227273405
901,180235681
902,173682604
903,203184613
904,173958709
905,165324640
906,93142203
907,139824847
908,77845862
909,120245584
910,45922996
911,133948735
912,103137722
913,183641446
914,-73064691
915,66876165
916,191682404
917,184538350
918,64206159
919,93127833
920,47285183
921,23527563
922,19232109
923,63359545
924,189135296
925,86432936
926,104961223
927,52881678
928,20191447
929,50656707
930,44837418
931,91194
932,-2444184
933,79330810
934,56470774
935,202802615
936,-7183896
937,118108869
938,96107293
939,-12466253
940,36007954
941,-66750202
942,102771376
943,-11930222
944,6780664
945,-1388653
946,23347220
947,133549446
948,-342660
949,23334203
950,-65019717
951,85636101
952,37997930
953,62123262
954,8393723
955,-26995326
956,37661233
957,11573550
958,20911803
959,-8892851
960,-29754289
961,11587525
962,-10446043
963,-60911375
964,-18499489
965,-25967270
966,-13627063
967,-48074252
968,22724633
969,4228979
970,-6689004
971,9071963
972,-26412649
973,-12771428
974,-52677226
975,-46281726
976,-54297292
977,2463565
978,-32516821
979,-55024768
980,-10458659
981,56412
982,-68758517
983,6208873
984,-52596166
985,-77005646
986,-23402685
987,-42461781
988,30020361
989,-41823423
990,-15567141
991,204726859
992,631971259
993,75566481
994,58387682
995,102072705
996,185519749
997,42913013
998,-49193256
999,47498714
1000,2932545
1001,54395772
1002,-50786427
1003,17579465
1004,296624032
1005,39192331
1006,75512919
1007,696965
1008,83040210
1009,99226826
1010,-15525330
1011,179172492
1012,-10573828
1013,-46829648
1014,348821345
1015,84654023
1016,140675891
1017,-41035748
1018,74207639
1019,181560550
1020,-9947504
1021,-67205188
1022,410529265
1023,363027590
1024,213051717
1025,214332383
1026,65514906
1027,67157941
1028,211428858
1029,100837355
1030,152626886
1031,189679943
1032,134307345
1033,82368176
1034,75844141
1035,59407106
1036,121880992
1037,133498854
1038,113554175
1039,56090401
1040,62427438
1041,122667870
1042,88449294
1043,252853717
1044,320514361
1045,50107548
1046,174085168
1047,11977183
1048,13305069
1049,65475228
1050,121064344
1051,89161467
1052,-7828801
1053,-62489400
1054,-61674069
1055,41621991
1056,38264815
1057,148780567
1058,6145726
1059,-14369610
1060,46477721
1061,12650226
1062,2436335
1063,-60869376
1064,-60869376
1065,14688890
1066,-7093418
1067,-8342883
1068,-37467280
1069,-73155364
1070,-41552198
1071,17132234
1072,-44530405
1073,-41221090
1074,-130
1075,-2903129
1076,-39387516
1077,-47287310
1078,-57198862
1079,127827574
1080,-71178181
1081,205910103
1082,457103878
1083,108045085
1084,164503256
1085,400724947
1086,-59516723
1087,230578390
1088,-67619103
1089,72760930
1090,-6084069
1091,47550683
1092,-55187380
1093,7056234
1094,32124941
1095,321148040
1096,4716510
1097,12297287
1098,174952131
1099,418583519
1100,230804614
1101,158262245
1102,42910922
1103,125158097
1104,83218485
1105,80139139
1106,27230635
1107,-56811417
1108,28950509
1109,-47894630
1110,184127583
1111,52387024
1112,-4610747
1113,-38108247
1114,-21479702
1115,183015710
1116,-3405389
1117,-33805983
1118,-34791002
1119,-21666618
1120,217526945
1121,66484932
1122,-50587581
1123,822897729
1124,4627656
1125,-37268632
1126,131142456
1127,228485402
1128,316304158
1129,140236553
1130,433007545
1131,92420839
1132,559647474
1133,196195892
1134,151856928
1135,185338231
1136,118256550
1137,96170055
1138,291429092
1139,208122200
1140,156523576
1141,158072800
1142,156365453
1143,299337236
1144,75684810
1145,250711969
1146,102107360
1147,59531220
1148,115472762
1149,138649170
1150,95434895
1151,168171252
1152,88236238
1153,50617575
1154,103181390
1155,142700992
1156,128438627
1157,57743803
1158,128023363
1159,238921397
1160,116552451
1161,115071759
1162,132585424
1163,167422080
1164,166681455
1165,132246384
1166,65554844
1167,56306858
1168,146285815
1169,19345512
1170,63866649
1171,50500065
1172,50443968
1173,111952024
1174,82648304
1175,70127465
1176,37434241
1177,95101931
